attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,train_w_frnk,attr_in_01,gpu,seed,write_csv,ATTR_IN_01,ADVERSARIAL,TRAIN_W_FRNK
16,512,1536,60,0.0001,1e-05,0,0,10,7,0.003,0,500,3,True,False,False,0,40,True,False,True,False


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.5394984861372887,"[0.5207117427595243, 0.5394984861372887, 0.531816771737579, 0.5334821604856576, 0.5205399023665664, 0.537179543136379, 0.5329628281962583]",0.5308844906884647,0.4109391095942902
5,0.5862961630725226,"[0.5441715974741083, 0.5687097010722724, 0.5790022039605596, 0.582966261957776, 0.5862961630725226, 0.5757764130885275, 0.5790747054975505]",0.5737138637319024,0.358079729477864
8,0.5876812694434188,"[0.552367753531545, 0.580052180852059, 0.5733643827763195, 0.5670563541927167, 0.5644533840290081, 0.5845065861725092, 0.5876812694434188]",0.5727831301425109,0.3367004527703556
11,0.626734359656745,"[0.5760951951215115, 0.5926585080757031, 0.611239425180273, 0.6069054194572322, 0.626734359656745, 0.607592194327937, 0.5942505293401963]",0.6022108044513711,0.3315294165966929
14,0.6352150406762503,"[0.5906944273047827, 0.6108335451963646, 0.5971011522688241, 0.6352150406762503, 0.6292340036093967, 0.6066622971231075, 0.6143146326172606]",0.6120078712565695,0.33837410224381276
17,0.6439790012076878,"[0.6211145581781218, 0.6336467465354756, 0.6439790012076878, 0.6388005440883028, 0.6355122102345715, 0.6412939666429567, 0.6210095515117691]",0.6336223683426978,0.34010494240495887
20,0.6547499822970502,"[0.6310088618039436, 0.6357423497409792, 0.6482210974246382, 0.6547499822970502, 0.6316304151478245, 0.6531777601376698, 0.6407284345215284]",0.642179843010519,0.34712615941426883
23,0.6562497621965123,"[0.6367765032005408, 0.6553481143815901, 0.6562497621965123, 0.653537431122875, 0.6546915935708917, 0.6383219853290159, 0.6521022207242229]",0.6495753729322357,0.34853334147846127
26,0.674065308900506,"[0.6335069306999459, 0.669580852243022, 0.6517552084266247, 0.6674696051732398, 0.674065308900506, 0.6635355739423515, 0.6440519389176723]",0.6577093454719088,0.37906037692242067
29,0.6802749261510704,"[0.6380036569128926, 0.646224005834352, 0.6802749261510704, 0.6580861747070879, 0.6578486154597007, 0.6489295234605263, 0.6641889113971954]",0.6562222591318322,0.39845015075324863
32,0.6582110575314011,"[0.6165798430594606, 0.6580776819257403, 0.6537168873504191, 0.6474131629095933, 0.6582110575314011, 0.6538061923441848, 0.6553924289761216]",0.649028179156703,0.4148594205941759
35,0.6660472627731291,"[0.6124558962133906, 0.6528843821180367, 0.655063094791414, 0.6660472627731291, 0.6509356708690632, 0.6618876947626048, 0.6605928698784427]",0.6514095530580116,0.4028657909579801
38,0.667774153192125,"[0.5959112510399536, 0.6298351851527236, 0.6451933345583671, 0.6469287534893232, 0.6544895063526232, 0.6528501013475507, 0.667774153192125]",0.6418546121618095,0.4247958636581539
41,0.6622945036258336,"[0.6169792782496185, 0.6232120387178137, 0.6622945036258336, 0.6555167183156065, 0.642185607196782, 0.6470438601575838, 0.6428952427014357]",0.6414467498520963,0.42332731927273964
44,0.6602262400166554,"[0.6131277104473786, 0.6429297811179996, 0.6451268655527315, 0.6602262400166554, 0.6392152151124597, 0.6416636170495529, 0.6379879219480211]",0.6400396216063998,0.4324417582688801
47,0.6545908195892978,"[0.598628849440684, 0.6442569014401685, 0.6529358473022705, 0.6320140925286541, 0.6545908195892978, 0.6444901725774048, 0.6381054453145306]",0.6378603040275729,0.4080642711980244
50,0.6557730293408339,"[0.6312643965235413, 0.6503968638534496, 0.6478527423520418, 0.6496513733647175, 0.6496662021021914, 0.6557730293408339, 0.6553731510042381]",0.6485682512201448,0.4218862796289042
53,0.6532278404010168,"[0.5944215325655094, 0.6327730236430733, 0.6297539172782137, 0.6532278404010168, 0.6485405986648667, 0.6436844198505388, 0.6453287590429719]",0.6353900130637414,0.40903583034732993
56,0.661961253803218,"[0.6138114401149364, 0.6437094767009135, 0.6365201062344209, 0.638555537295356, 0.6475696925547958, 0.6515101682216754, 0.661961253803218]",0.6419482392750451,0.4171653043182522
59,0.658411136516929,"[0.6089667445430169, 0.6099347219100971, 0.6294881212131147, 0.6465621458677373, 0.6505401055691004, 0.658411136516929, 0.652651968398589]",0.6366507062883693,0.41091983829245526
