attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,train_w_frnk,attr_in_01,gpu,seed,write_csv,ATTR_IN_01,ADVERSARIAL,TRAIN_W_FRNK
16,512,1536,60,0.0001,1e-05,1e-05,1e-05,10,7,0.003,1e-05,500,3,True,False,False,0,40,True,False,True,False


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.5400010379931207,"[0.5217378486735168, 0.5400010379931207, 0.5317471495449716, 0.5343213934685223, 0.5210471647894293, 0.5378914598688097, 0.5365449417944687]",0.5318987137332628,0.40826164046194496
5,0.5836329306911404,"[0.5427211376764939, 0.5689386709058455, 0.5797217913801948, 0.5836329306911404, 0.5827044763628987, 0.5776684761506854, 0.5814483860480731]",0.5738336956021903,0.356989016417877
8,0.5841629479452695,"[0.550560328531976, 0.5742083681607291, 0.5741513277059036, 0.5616872500257275, 0.5630821742845264, 0.581922993085968, 0.5841629479452695]",0.5699679128200142,0.33640636122105294
11,0.6269589967141188,"[0.570929000405578, 0.587578368220119, 0.606392655025808, 0.6069030816217308, 0.6269589967141188, 0.6056638867856384, 0.5870637461556025]",0.5987842478469423,0.3328634713993924
14,0.6274942388360462,"[0.5824519519759299, 0.6035807535258154, 0.5877793255454519, 0.6274942388360462, 0.6266544720919291, 0.6043616479874546, 0.6095722743831586]",0.605984952049398,0.3386367228067127
17,0.6377752163265209,"[0.6133492916853045, 0.6226860578641055, 0.6339677100023191, 0.6345714880374521, 0.6282891551501355, 0.6377752163265209, 0.6185557307408077]",0.6270278071152351,0.3389905175578551
20,0.6447406028456533,"[0.6211669451590238, 0.6254731998555398, 0.6445688176603608, 0.6446633009154993, 0.6273522405631813, 0.6447406028456533, 0.6350113974782687]",0.6347109292110752,0.34575730212897227
23,0.6536958976322903,"[0.6324970400228713, 0.6417369707081403, 0.6536958976322903, 0.6520414823445203, 0.6496647191570349, 0.6384106871881563, 0.6455099916168544]",0.6447938269528383,0.3408713566756362
26,0.6704360216078981,"[0.6312824166253876, 0.6602461907783855, 0.6468966250645727, 0.6607938544793287, 0.6704360216078981, 0.658291064311063, 0.6348144305330148]",0.6518229433428072,0.36030831897456667
29,0.6717606726798394,"[0.633595098249198, 0.6415985170764896, 0.6717606726798394, 0.6567722556536129, 0.650873941327706, 0.6433100716996055, 0.6616979828669335]",0.6513726485076264,0.3746323251078974
32,0.6573250347792772,"[0.616785214968082, 0.6495457823431714, 0.6486450053425884, 0.6489231599021339, 0.6573250347792772, 0.6550702749590769, 0.6501087147560466]",0.6466290267214825,0.40652022927592907
35,0.667974236551392,"[0.6141923401938676, 0.6547426354297206, 0.6556339109470584, 0.667974236551392, 0.654123148499265, 0.6612825978282195, 0.6548484035251214]",0.6518281818535206,0.4038219823381837
38,0.660108748060797,"[0.5895172495152435, 0.6279827729232978, 0.641595344406026, 0.64717197413739, 0.6502243878526603, 0.652141433551831, 0.660108748060797]",0.6383917014924637,0.42224142004594023
41,0.661744148152706,"[0.6193371421434385, 0.6220166445235148, 0.661744148152706, 0.6541097071061787, 0.6480656896167336, 0.6495713129465889, 0.6430791360792651]",0.6425605400812036,0.4241777204182577
44,0.656701164005826,"[0.6087189914364373, 0.6398316961233881, 0.6449682458018218, 0.656701164005826, 0.6327214521457895, 0.6371060572108058, 0.6365603636614388]",0.6366582814836439,0.43384260213913173
47,0.6540086225675714,"[0.603502751400612, 0.6445621908662508, 0.6492384537779289, 0.6323156445044329, 0.6540086225675714, 0.6408245033725886, 0.6359651531551922]",0.6372024742349396,0.40801144106646703
50,0.6586621621951527,"[0.6280544586154809, 0.6500648720534736, 0.6521699130789407, 0.6509071125758792, 0.654493234622338, 0.6586621621951527, 0.6543395413179212]",0.6498130420655981,0.4193392368885087
53,0.6469065324233133,"[0.5903441305735837, 0.6280713898468842, 0.6325308229867781, 0.6469065324233133, 0.6366238536395599, 0.6348081430309511, 0.6348698099230828]",0.6291649546320218,0.40732725243609347
56,0.6525793531187396,"[0.613651754994325, 0.637953089490998, 0.6322831698928316, 0.6234871208915065, 0.6397638207110748, 0.6488963142739284, 0.6525793531187396]",0.6355163747676291,0.41953491522191466
59,0.6533608197019056,"[0.6063538217133436, 0.6011587574143242, 0.6244633973057901, 0.6478518921167538, 0.6466235892313935, 0.6533608197019056, 0.649973772321691]",0.6328265785436002,0.41162900482084525
