attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,train_w_frnk,attr_in_01,gpu,seed,write_csv,ATTR_IN_01,ADVERSARIAL,TRAIN_W_FRNK
16,512,1536,60,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,0,42,True,False,False,False


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.5337904343190432,"[0.48195614823274074, 0.5127119833909035, 0.5321739175295058, 0.5148473595345752, 0.5337904343190432, 0.5095125518232188, 0.5103877662063896]",0.513625737290911,0.38678251766457583
5,0.5762081743156118,"[0.5252327395972947, 0.5483982960264162, 0.5762081743156118, 0.5585886113107517, 0.5616542003971005, 0.5418357272276225, 0.558999780239627]",0.5529882184449179,0.3874941995580951
8,0.5944138457480941,"[0.5944138457480941, 0.5837651422057416, 0.5684224533822742, 0.5889137252723293, 0.584870141528633, 0.5771343324696696, 0.593402088190103]",0.5844173898281207,0.3776846642618382
11,0.6222184678782001,"[0.615054462659887, 0.6220137782569414, 0.604714952006008, 0.6222184678782001, 0.6147039733494901, 0.6136490306217242, 0.6130768984756234]",0.6150616518925535,0.35161242390773834
14,0.6420965831115465,"[0.6165249254695456, 0.6123352745572264, 0.6259165382709104, 0.6317519463010358, 0.6366183196618459, 0.6399627924484877, 0.6420965831115465]",0.6293151971172284,0.34575747950451496
17,0.640428579612156,"[0.6224825042433852, 0.6384156947186829, 0.6350822111705309, 0.6398820473604998, 0.640428579612156, 0.6377313501770232, 0.6365546741122345]",0.635796723056359,0.36117012656912617
20,0.6722585567040669,"[0.6402488336232174, 0.660570463742885, 0.6665707742215048, 0.6722585567040669, 0.6614034971593727, 0.6592998189226937, 0.6480885548289764]",0.6583486427432452,0.3493399537427986
23,0.6933956959812635,"[0.6547076951043992, 0.6534044927498223, 0.6629199982281475, 0.6601210101535598, 0.6933956959812635, 0.6734182339341389, 0.6553513383736862]",0.664759780646431,0.34880366951238656
26,0.6712948249163901,"[0.6437103187084153, 0.6651741318034406, 0.6437173983073373, 0.6690596243749178, 0.6566800765069548, 0.6712948249163901, 0.6517560825481394]",0.6573417795950851,0.36038761556185
29,0.6593360900694598,"[0.6509498019598758, 0.6461828168246856, 0.6365514913858352, 0.6446840763936301, 0.6438794958231686, 0.6593360900694598, 0.6504693200980429]",0.6474361560792425,0.37010198577254766
32,0.6528008785824515,"[0.6406859126622194, 0.6362604942046022, 0.6523828308555283, 0.6528008785824515, 0.6373115198610096, 0.6424398701128786, 0.6321693807008401]",0.6420072695685043,0.37440974202096056
35,0.6550488626825632,"[0.6271058512299954, 0.6550488626825632, 0.6507232453158678, 0.6362475505555057, 0.6381129411874482, 0.647861906790596, 0.6405855440229196]",0.642240843112128,0.3607810255561325
38,0.6639394884343272,"[0.6045643882521007, 0.6541790072429169, 0.6639394884343272, 0.6440125602824641, 0.6378041969071401, 0.6341203883400774, 0.6406985324587267]",0.639902651702536,0.3767023161992382
41,0.6515268023046474,"[0.6136974407218947, 0.6457742874186031, 0.6515268023046474, 0.6260142042272563, 0.6436602528370581, 0.65146058822577, 0.6232345764471862]",0.636481164597488,0.37160387220023733
44,0.6518745167709004,"[0.6212182237784264, 0.6404004537381975, 0.6388025326903172, 0.6518745167709004, 0.6453329752573047, 0.6256358375588766, 0.6281458222276511]",0.6359157660030963,0.3830790237142387
47,0.6522167308840412,"[0.58062618986503, 0.6360772385244708, 0.6455085347731109, 0.6382667718051518, 0.6373108749202208, 0.6494121703392324, 0.6522167308840412]",0.6342026444444654,0.37904834613506083
50,0.6508319044113744,"[0.6098995279862737, 0.6175318828499592, 0.6504470115211018, 0.6508319044113744, 0.63902378576748, 0.6378774816793821, 0.6205628297985841]",0.6323106320020221,0.37401991988858224
53,0.6628721793852758,"[0.6406312328728576, 0.6511519856292295, 0.6628721793852758, 0.6490980668044817, 0.6440734414865987, 0.6620824969429127, 0.6550913498096056]",0.6521429647044231,0.3770543053526665
56,0.6555842471949107,"[0.6103918724192907, 0.6483701810194896, 0.6450068135486156, 0.6473473785877287, 0.6555842471949107, 0.6351557332740849, 0.6373435754107597]",0.6398856859221257,0.37237119737496777
59,0.648959028990794,"[0.6140978242005971, 0.6284153023796671, 0.6369254109525361, 0.648959028990794, 0.6419320412331622, 0.631436155274721, 0.634490750490552]",0.6337509305031471,0.3827529776924787
