attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,train_w_frnk,attr_in_01,gpu,seed,write_csv,ATTR_IN_01,ADVERSARIAL,TRAIN_W_FRNK
16,512,1536,60,0.0001,1e-05,0.001,0.001,10,7,0.003,0.001,500,3,False,False,False,0,42,True,False,False,False


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.5359101957044315,"[0.47929463555113755, 0.5137115562801162, 0.5314740488898038, 0.5136545472407723, 0.5359101957044315, 0.517128358281983, 0.5070243272397028]",0.514028238455421,0.38626189290434737
5,0.5765781579374424,"[0.5243955604586412, 0.5508818155892758, 0.5765781579374424, 0.5602400947908994, 0.5640149379631653, 0.5446310976685707, 0.5651498154435821]",0.5551273542645109,0.3834364819175108
8,0.5969338594602954,"[0.5969338594602954, 0.5847058714515633, 0.5704752206650959, 0.5910723302225473, 0.5870907111288142, 0.5818882460337172, 0.592944241879567]",0.586444354405943,0.3755772405876014
11,0.6263602243940135,"[0.618138858388563, 0.6263602243940135, 0.6054146138994482, 0.6226172544256805, 0.6175114810054276, 0.6169695786972691, 0.6175573850607777]",0.6177956279815972,0.351089728207789
14,0.6430698381440613,"[0.6161376001741182, 0.6173925682260704, 0.6280215350302418, 0.6294227098051454, 0.635666855690871, 0.6430698381440613, 0.6429993204852206]",0.6303872039365326,0.34758830166947646
17,0.6434536254664295,"[0.6226804479372291, 0.6428835892361424, 0.6370559888264208, 0.6434536254664295, 0.64217933344276, 0.6408423817924278, 0.6423929828009864]",0.6387840499289137,0.36130289610123967
20,0.6776575380850185,"[0.6389584727046786, 0.6642982044843974, 0.6734271449084179, 0.6776575380850185, 0.6706448244430748, 0.6681442292203139, 0.6622692086496752]",0.6650570889279396,0.3496189934243566
23,0.7026387475178596,"[0.6547169997700406, 0.6530417159857922, 0.6620193575610178, 0.6655824476993454, 0.7026387475178596, 0.6844100119753088, 0.6695402720575829]",0.6702785075095639,0.34474501946286257
26,0.6779170120409502,"[0.6384443323731505, 0.6649060274790338, 0.6433699885041703, 0.6736677943715277, 0.6565264367358548, 0.6779170120409502, 0.652633657053714]",0.6582093212226289,0.354237477576595
29,0.6680390154918683,"[0.6431865467612097, 0.6433741311133933, 0.6375347998089191, 0.650622653079145, 0.6536008202982733, 0.6664592945991364, 0.6680390154918683]",0.6518310373074208,0.3688804028108862
32,0.6550342446227689,"[0.6361195729493586, 0.6394366307846209, 0.6550342446227689, 0.651477731051501, 0.6407563363870351, 0.6404280999265162, 0.6427685717941538]",0.6437173125022791,0.37293214031350413
35,0.6561977887416608,"[0.6259011450636276, 0.6561977887416608, 0.654177353738413, 0.6373738589192369, 0.6442327220902678, 0.6497173669124667, 0.6431769513666191]",0.6443967409760417,0.3625073299713657
38,0.6625309292821678,"[0.5983091401940858, 0.6454476285694618, 0.6625309292821678, 0.640702064841633, 0.6324789043828132, 0.635793145374687, 0.6513621173986669]",0.6380891328633593,0.3829834169738895
41,0.6527463470760544,"[0.6190280453872963, 0.6527463470760544, 0.6520026827115375, 0.6269370836768056, 0.6476256393188504, 0.6497942007197389, 0.6195700302337878]",0.6382434327320101,0.3670397383207319
44,0.6566095508091219,"[0.6150920844729633, 0.6389922128650931, 0.6434369974458327, 0.6566095508091219, 0.6473893540748402, 0.6246343514276191, 0.6329616353361167]",0.6370165980616553,0.38606128690505803
47,0.6517912469675657,"[0.5775093801936533, 0.638370068730552, 0.6411379855163996, 0.6434404744191524, 0.6438476559297777, 0.6466233855888562, 0.6517912469675657]",0.6346743139065653,0.3780596346730816
50,0.6513833725393703,"[0.6126670945969163, 0.6228894571628876, 0.650814452048099, 0.6513833725393703, 0.6498757553740607, 0.6396852704185296, 0.639848675070011]",0.6381662967442677,0.36984057858085684
53,0.6633153283052191,"[0.6471283857062624, 0.6590961117439222, 0.6633153283052191, 0.6437213570807193, 0.638425999840012, 0.655591667069382, 0.6540085872542015]",0.6516124909999599,0.36959632402244297
56,0.6560567344389586,"[0.6129674429977523, 0.6462911409319463, 0.6483533644568575, 0.6517706327720545, 0.6560567344389586, 0.6338737689570587, 0.6438637378960165]",0.6418824032072349,0.3640267118278365
59,0.648079191064892,"[0.6194449520228819, 0.637439755972175, 0.6395379257105087, 0.648079191064892, 0.6322601192682062, 0.6293993065717752, 0.6415207978850426]",0.6353831497850688,0.3749487370975945
