epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc,attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,train_w_frnk,attr_in_01,gpu,seed,write_csv,ATTR_IN_01,ADVERSARIAL,TRAIN_W_FRNK
29,0.6802749261510704,"[0.6380036569128926, 0.646224005834352, 0.6802749261510704, 0.6580861747070879, 0.6578486154597007, 0.6489295234605263, 0.6641889113971954]",0.6562222591318322,0.39845015075324863,16,512,1536,60,0.0001,1e-05,0,0,10,7,0.003,0,500,3,True,False,False,0,40,True,False,True,False
23,0.6171912048275626,"[0.5325003287621344, 0.5932014733654525, 0.5622783498428002, 0.6092183292054509, 0.6171912048275626, 0.597591607328096, 0.5911683757254249]",0.5861642384367031,0.3735374993344779,16,512,1536,60,0.0001,1e-05,0,0,10,7,0.003,0,500,3,True,False,False,0,41,True,False,True,False
23,0.7025019034486448,"[0.6576259977097333, 0.6582905162462851, 0.6688106940314894, 0.6697686093987061, 0.7025019034486448, 0.6846542487316226, 0.6691749928002951]",0.6729752803381109,0.3449898990133517,16,512,1536,60,0.0001,1e-05,0,0,10,7,0.003,0,500,3,True,False,False,0,42,True,False,True,False
29,0.6717606726798394,"[0.633595098249198, 0.6415985170764896, 0.6717606726798394, 0.6567722556536129, 0.650873941327706, 0.6433100716996055, 0.6616979828669335]",0.6513726485076264,0.3746323251078974,16,512,1536,60,0.0001,1e-05,1e-05,1e-05,10,7,0.003,1e-05,500,3,True,False,False,0,40,True,False,True,False
50,0.6169174652540098,"[0.5863896795556494, 0.6063970682070358, 0.613194005370426, 0.6169174652540098, 0.5820623321239815, 0.5965837114593784, 0.607548565564088]",0.6012989753620813,0.37221389213226896,16,512,1536,60,0.0001,1e-05,1e-05,1e-05,10,7,0.003,1e-05,500,3,True,False,False,0,41,True,False,True,False
23,0.6950771594990366,"[0.655653196628308, 0.6522950624564091, 0.6627397046881617, 0.6610397525195809, 0.6950771594990366, 0.6771168911341824, 0.6568351919511735]",0.6658224226966931,0.34816788742045174,16,512,1536,60,0.0001,1e-05,1e-05,1e-05,10,7,0.003,1e-05,500,3,True,False,False,0,42,True,False,True,False
26,0.664281074128907,"[0.6194213648971713, 0.6591831603774506, 0.6431227954018574, 0.6572811674812246, 0.664281074128907, 0.6585679309613973, 0.6362151696290979]",0.6482960946967294,0.35796726570177434,16,512,1536,60,0.0001,1e-05,0.001,0.001,10,7,0.003,0.001,500,3,True,False,False,0,40,True,False,True,False
50,0.6112878831918547,"[0.5862889272900715, 0.6045346232895131, 0.6112878831918547, 0.6098607743202215, 0.574465436196989, 0.5923886497626069, 0.6018020851358014]",0.5972326255981512,0.37125486980458494,16,512,1536,60,0.0001,1e-05,0.001,0.001,10,7,0.003,0.001,500,3,True,False,False,0,41,True,False,True,False
23,0.7016380162972613,"[0.6585143447668538, 0.6579269679515714, 0.6710285595041627, 0.6658841540708886, 0.7016380162972613, 0.6836138508780472, 0.6680529664504012]",0.6723798371313122,0.3436170570431735,16,512,1536,60,0.0001,1e-05,0.001,0.001,10,7,0.003,0.001,500,3,True,False,False,0,42,True,False,True,False
26,0.658557712637513,"[0.6118915211274892, 0.6492870979638908, 0.6357359311517088, 0.6514809923370641, 0.658557712637513, 0.6457742389484471, 0.6271207261204538]",0.6399783171837953,0.3655934954898239,16,512,1536,60,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,0,40,True,False,False,False
50,0.6164197675099152,"[0.5837020406072615, 0.6063629683136095, 0.6145381067140814, 0.6164197675099152, 0.5823207987083281, 0.6016282269815316, 0.6126747191572853]",0.6025209468560018,0.3656424439682045,16,512,1536,60,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,0,41,True,False,False,False
23,0.6933956959812635,"[0.6547076951043992, 0.6534044927498223, 0.6629199982281475, 0.6601210101535598, 0.6933956959812635, 0.6734182339341389, 0.6553513383736862]",0.664759780646431,0.34880366951238656,16,512,1536,60,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,0,42,True,False,False,False
26,0.6762122171205601,"[0.6326924800753445, 0.6671204818062577, 0.6520070588750275, 0.671971308755565, 0.6762122171205601, 0.6644033134816543, 0.6437209711228626]",0.658303975891039,0.36630449995918185,16,512,1536,60,0.0001,1e-05,1e-05,1e-05,10,7,0.003,1e-05,500,3,False,False,False,0,40,True,False,False,False
23,0.6173364101707869,"[0.5279391291172946, 0.597143437570349, 0.5637636572333808, 0.6074604269849871, 0.6173364101707869, 0.6035631375450901, 0.5953006252003992]",0.5875009748317553,0.3695315274695939,16,512,1536,60,0.0001,1e-05,1e-05,1e-05,10,7,0.003,1e-05,500,3,False,False,False,0,41,True,False,False,False
23,0.6946282820125896,"[0.6536623098854494, 0.6542734546830236, 0.663503437771291, 0.661916522513161, 0.6946282820125896, 0.6753421560968336, 0.6559175876863496]",0.6656062500926712,0.34448518122391825,16,512,1536,60,0.0001,1e-05,1e-05,1e-05,10,7,0.003,1e-05,500,3,False,False,False,0,42,True,False,False,False
26,0.6652121715674287,"[0.6172787370482666, 0.6543894184355644, 0.6400439936365996, 0.653262453559104, 0.6652121715674287, 0.6564305211534995, 0.6300087134726651]",0.6452322869818754,0.3691729270978805,16,512,1536,60,0.0001,1e-05,0.001,0.001,10,7,0.003,0.001,500,3,False,False,False,0,40,True,False,False,False
23,0.6158428843590071,"[0.5254595595563846, 0.5925961920953778, 0.555651647150398, 0.6066251148658475, 0.6158428843590071, 0.6007904571241587, 0.5923451202078338]",0.584187282194144,0.36822050339626916,16,512,1536,60,0.0001,1e-05,0.001,0.001,10,7,0.003,0.001,500,3,False,False,False,0,41,True,False,False,False
23,0.7026387475178596,"[0.6547169997700406, 0.6530417159857922, 0.6620193575610178, 0.6655824476993454, 0.7026387475178596, 0.6844100119753088, 0.6695402720575829]",0.6702785075095639,0.34474501946286257,16,512,1536,60,0.0001,1e-05,0.001,0.001,10,7,0.003,0.001,500,3,False,False,False,0,42,True,False,False,False
