attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
16,512,1536,30,0.0001,1e-05,0,0,10,7,0.003,0,500,3,False,False,False,False,False,0,41,42,41,True


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.4895760121414526,"[0.4416629921783769, 0.46499735886637117, 0.4791397969042569, 0.4815861552496935, 0.4822763367086139, 0.4895760121414526, 0.48702750428933583]",0.4751808794768716,0.39275546743112383
5,0.5502551255446383,"[0.46290304338737814, 0.4846765365123291, 0.5039153325762722, 0.5179173763676215, 0.5140179395161633, 0.5502551255446383, 0.5296758389465721]",0.5090515989787107,0.370111862045756
8,0.5760425237077454,"[0.4991366047679017, 0.5190750354437192, 0.5296236233739118, 0.5575586260122175, 0.5454647271091979, 0.5760425237077454, 0.5592500116291996]",0.5408787360062705,0.36253532505637953
11,0.5696605170762649,"[0.5127009477115966, 0.521628272028119, 0.5392687011556305, 0.5651351397616631, 0.5413098356704806, 0.5696605170762649, 0.5633113850396642]",0.5447163997776313,0.353726644405794
14,0.5791193683364111,"[0.5206138677984995, 0.5269137105317606, 0.5480013825286947, 0.5791193683364111, 0.5331351411306935, 0.5737983183170274, 0.5661718548401707]",0.5496790919261797,0.3527815947353034
17,0.5889312569866985,"[0.5254490221113143, 0.5270721130210616, 0.5473809767754833, 0.5889312569866985, 0.5309684552623031, 0.5854265827467465, 0.5677938479662957]",0.5532888935528433,0.35085884453839905
20,0.5978995387855254,"[0.5330968787548102, 0.5428874674443362, 0.5541688611135801, 0.5978995387855254, 0.540213817177757, 0.5923582495769746, 0.5790128247603501]",0.5628053768019049,0.35205913907810965
23,0.6023856197335393,"[0.5416386793267516, 0.5526730982070689, 0.5628872731852047, 0.6023856197335393, 0.5495429854103968, 0.595103247059182, 0.5824181013881111]",0.5695212863300363,0.36033921079308756
26,0.6090176542812802,"[0.5479408557470263, 0.5608244713969397, 0.5655904889444515, 0.6090176542812802, 0.5580300121226279, 0.5973772596293551, 0.5846469333329416]",0.5747753822078032,0.3648221612707569
29,0.6073527684414712,"[0.5482257806252387, 0.566499405903051, 0.5644459829721372, 0.6073527684414712, 0.5645394601878548, 0.5965898636023114, 0.5796633615596738]",0.5753309461845341,0.3702068396777231
