attr_latent_dim,cntx_latent_dim,hidden_dim,nb_epochs,g_lr,d_lr,g_wd,d_wd,l2_norm_alpha,adapt_epochs,adapt_lr,adapt_wd,adapt_gen_samples,test_period,adversarial,frnk_cycle,frnk_reconstruct,attr_in_01,cce,gpu,wseed,twseed,tfseed,write_csv
16,512,2048,100,1e-05,1e-05,0,0,10,10,0.001,0,500,3,False,False,False,False,False,0,41,41,40,True


epoch,best-acc,zs-accs,mean-acc,DAP-1NN-acc
2,0.3883309717749097,"[0.323518537854027, 0.35442466133177236, 0.3883309717749097, 0.38333855023506913, 0.3783908737595044, 0.34212186801317046, 0.38651662846260704, 0.37580595175009396, 0.3558070591234118, 0.3830409599229744]",0.36712960622275403,0.2573548803689214
5,0.4906619196556635,"[0.46207551668776226, 0.47635620283518004, 0.4835209294370976, 0.4864542951015861, 0.466509094650225, 0.45735887968667893, 0.47406101829674074, 0.4817606662122798, 0.4906619196556635, 0.4717572412310381]",0.4750515763794252,0.28316045729406214
8,0.5329315277413917,"[0.4899495247058203, 0.5119151977601485, 0.5329315277413917, 0.5327187078002318, 0.5118168004807486, 0.5161700186881581, 0.5274518814518236, 0.5300944583254381, 0.5216270022474558, 0.5067791073592933]",0.5181454226560509,0.3152883824726055
11,0.5421680871441306,"[0.4954060796021049, 0.5192485959193811, 0.5332912562506138, 0.5421680871441306, 0.5096280898277192, 0.5122508153211063, 0.5309547407103392, 0.5356371705618137, 0.5211657149161686, 0.5112547015898492]",0.5211005251843226,0.3502836741590258
14,0.5560565003004628,"[0.5127392842816152, 0.5263820058555709, 0.5512055025198264, 0.5560565003004628, 0.5254427391237069, 0.5220892077864193, 0.5413506377069, 0.544500367351642, 0.5307986763691919, 0.5225874006276924]",0.5333152321923028,0.30605178575464814
17,0.5715398077290731,"[0.5272740154026964, 0.5381316628317355, 0.5676726196990656, 0.5715398077290731, 0.5415677408708186, 0.5348607928034723, 0.5546612944996768, 0.5602336386171183, 0.5440574681975703, 0.5383308886273593]",0.5478329929278586,0.336289210566335
20,0.5832677895758379,"[0.5332245865960111, 0.5478380653030664, 0.5743521232668364, 0.5832677895758379, 0.5524722333139399, 0.5429856761234878, 0.5581959958352454, 0.5679041051879052, 0.5463961476129224, 0.5454900623784876]",0.555212678519374,0.33693223501370395
23,0.5808040625269628,"[0.526420837047582, 0.5438192000940437, 0.5742142873536603, 0.5808040625269628, 0.5569926020845687, 0.5500604901985391, 0.5682561321790565, 0.573521554908107, 0.5510434238367304, 0.5546979072344735]",0.5579830497463724,0.3227162435162917
26,0.5768959102547792,"[0.5338454867581688, 0.5456140089217855, 0.5766951694185357, 0.5768959102547792, 0.558230321662155, 0.5485076346250363, 0.5648103870170422, 0.5676172366206291, 0.5529404921731166, 0.5548093779836257]",0.5579966025434875,0.34773994821201915
29,0.5789411925163213,"[0.5312167610366897, 0.5437666346970562, 0.5750040672640975, 0.5789411925163213, 0.5578894858001272, 0.5487768470099577, 0.5607182209356614, 0.5609614711930808, 0.5524270099122102, 0.5525580487771513]",0.5562259739142353,0.38624027147514145
